time pfe-dn ee pfe-up
0 6.00011 6.00011 6.00011
0.1 6.40839 7.47935 7.87738
0.2 6.86597 9.35642 11.3754
0.3 7.59878 11.8332 16.3085
0.4 8.12866 14.9722 22.4504
0.5 8.6291 18.7353 29.4067
0.6 7.93352 22.9906 39.0683
0.7 8.5542 27.5747 49.1559
0.8 9.47221 32.3191 58.9369
0.9 10.3102 37.0134 67.9359
1 11.0752 41.3866 75.9478
1.1 11.1606 45.1576 80.3433
1.2 11.6166 48.1241 82.8397
1.3 12.2665 50.218 84.568
1.4 13.0684 51.4884 85.5493
1.5 13.9471 52.0424 86.041
1.6 16.3546 51.9934 85.717
1.7 15.7389 51.4375 85.5291
1.8 14.619 50.4506 85.3362
1.9 12.7291 49.0928 85.1441
2 9.91438 47.4193 84.9531
